datetime	price	type	latitude_to	longitude_to	latitude_from	longitude_from	label_from	label_trend
16.09.2013 20:10	379	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	36.5861624	HYATT REGENCY WASHINGTON  	DoWD
12.01.2014 13:51	752.28	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	36.5861624	HYATT REGENCY WASHINGTON  	DoWD
13.01.2014 18:00	379	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	36.5861624	HYATT REGENCY WASHINGTON  	DoWD
14.01.2014 22:43	370.98	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	38.9099362	THE LIAISON CAPITOL HILL  	DoWD
15.01.2014 21:18	379	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	29.9659198	HYATT REGENCY WASHINGTON  	DoWD
16.01.2014 17:25	379	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	29.9659198	HYATT REGENCY WASHINGTON  	DoWD
16.01.2014 17:31	370.98	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	38.9099362	THE LIAISON CAPITOL HILL  	DoWD
17.01.2014 18:03	370.98	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	38.9099362	THE LIAISON CAPITOL HILL  	DoWD
17.01.2014 18:10	370.98	OUT-OF-STATE LODGING	-77.0349775	38.9099362	-86.639913	38.9099362	THE LIAISON CAPITOL HILL  	DoWD
17.01.2014 19:53	762.57	23076659	-77.0349775	38.9099362	-86.639913	38.9099362	THE LIAISON CAPITOL HILL  	DoWD
17.01.2014 21:46	762.57	23076657	-77.0349775	38.9099362	-86.639913	38.9099362	THE LIAISON CAPITOL HILL  	DoWD
18.01.2014 14:13	204.96	Hotel	-77.0349775	38.9099362	-86.639913	38.9099362	HILTON HOTELS ADV DEP     	DoWD
18.01.2014 19:18	204.96	Hotel	-77.0349775	38.9099362	-86.639913	38.9099362	HILTON HOTELS ADV DEP     	DoWD
18.01.2014 20:18	204.96	Hotel	-77.0349775	38.9099362	-86.639913	38.9099362	HILTON HOTELS ADV DEP     	DoWD
19.01.2014 11:23	204.96	Hotel	-77.0349775	38.9099362	-86.639913	38.9099362	HILTON HOTELS ADV DEP     	DoWD
19.01.2014 17:50	204.96	Hotel	-77.0349775	38.9099362	-86.639913	38.9099362	HILTON HOTELS ADV DEP     	DoWD
24.01.2014 18:10	437.97	991003	-77.0349775	38.9099362	-86.639913	38.9099362	ST. REGIS HOTEL           	DoWD
24.01.2014 18:40	-775	Hotel	-77.0349775	38.9099362	-86.639913	38.9099362	NATL GOVERNORS ASS        	DoWD
25.01.2014 18:00	409.92	990956	-77.0349775	38.9099362	-86.639913	39.825192	ST. REGIS HOTEL           	DoWD
25.01.2014 21:36	409.92	990824	-77.0349775	38.9099362	-86.639913	32.335948	ST. REGIS HOTEL           	DoWD
26.01.2014 18:07	409.91	Hotel	-77.0349775	38.9099362	-86.639913	32.335948	HILTON HOTELS ADV DEP     	DoWD
26.01.2014 19:14	614.88	990893	-77.0349775	38.9099362	-86.639913	37.7970026	ST. REGIS HOTEL           	DoWD
28.01.2014 19:01	409.92	Hotel	-77.0349775	38.9099362	-86.639913	37.7970026	RENAISSANCE DC DNTOWN     	DoWD
